Target,TIC,Author,Sector,Temperature,Plx,Gmag,BP-RP,Type,Spectral Type,2MASS,TESS Mag,Blend,ra,dec,Gaia DR3 Source ID,Gaia Match Sep arcsec
VOS 336,139019368,Cody et al.,,5671.0,1.4412,12.836536,1.554043,Herbig Ae/Be,F6-G4,J21220592+4651406,12.03,N,320.52466666666663,46.86127777777778,1972408072220900864,0.06938280325295718
HD 59319,139715411,Cody et al.,,,1.4208,8.294557,-0.084863,Herbig Ae/Be,B7-B8,J07283676-2157493,8.37,N,112.15316666666666,-21.963694444444442,5619569191867671040,0.09590200880589118
HD 39014,149542947,Cody et al.,,7437.6,21.872,4.261496,0.342441,Herbig Ae/Be,A5-A6,J05444639-6544079,4.14,N,86.19329166666667,-65.73552777777778,4660016396371388672,0.6178398105772347
HD 319896,163268072,Cody et al.,,,0.7429,10.66298,1.033203,Herbig Ae/Be,B4-B5,J17310584-3508292,10.14,N,262.7743333333333,-35.141444444444446,5975083327400970752,0.15787198904394315
PDS 69,166896955,Cody et al.,,,1.4816,10.236468,0.463189,Herbig Ae/Be,B4-B5,J13574395-3958471,10.0,Y,209.43312499999996,-39.97975,6114205804964036096,0.3133318455451457
PDS 241,168627773,Cody et al.,,17119.5,0.1682,12.025613,1.057179,Herbig Ae/Be,B1,J07083879-0419048,11.48,Y,107.16162499999999,-4.318,3107524257323390208,0.046540275208682376
VOS 703,178486401,Cody et al.,,6457.9,0.8138,12.834954,1.165551,Herbig Ae/Be,F1-F6,J07143123-1129271,12.26,N,108.63012499999999,-11.49086111111111,3045461567573658368,0.06458666194823746
V388 Vel,181142391,Cody et al.,,,0.4346,15.589075,2.436924,Herbig Ae/Be,B9,J08421727-4044096,14.33,Y,130.57195833333333,-40.736000000000004,5525337338813640192,0.16325720324426507
PDS 277,183658281,Cody et al.,,6762.6,2.9215,9.870634,0.571036,Herbig Ae/Be,F3-F5,J08231185-3907015,9.57,N,125.79937499999997,-39.11708333333333,5540151196420957952,0.043126243125456945
VOS 1331,189283710,Cody et al.,,5595.7,0.6793,13.667015,2.287836,Herbig Ae/Be,B0.5,J20384588+4207047,12.51,N,309.6911666666666,42.11797222222222,2066412811690449792,0.030044175070578362
VOS 111,189286260,Cody et al.,,,0.6961,14.365152,2.003164,Herbig Ae/Be,A0,J20391272+4220546,13.29,N,309.80299999999994,42.3485,2066439165609688192,0.028852326431901634
VOS 4,190255749,Cody et al.,,6532.9,1.0369,13.200563,0.802804,Herbig Ae/Be,A0,J08511143-4138500,12.31,N,132.79762499999998,-41.64722222222222,5524619735681532160,0.0631331932971917
HD 35929,199757113,Cody et al.,,,2.6291,8.007738,0.598946,Herbig Ae/Be,A9-F0,J05274279-0819386,7.68,N,81.92829166666665,-8.327388888888889,3014834946056441984,0.07598189878753726
V351 Ori,199967382,Cody et al.,,7687.3,3.0694,8.923279,0.550296,Herbig Ae/Be,A7-A9,J05441880+0008403,8.63,N,86.07833333333332,0.14452777777777778,3219190589510786176,0.10671004800605277
HD 244314,200511734,Cody et al.,,,2.4834,10.018372,0.325124,Herbig Ae/Be,A2-A3,J05301903+1120199,9.87,N,82.57929166666666,11.338861111111111,3340623299383790848,0.08285215596719346
HD 244604,200517741,Cody et al.,,,2.4798,9.384071,0.285322,Herbig Ae/Be,A2-A3,J05315724+1117414,9.23,N,82.98849999999999,11.294833333333333,3340578150687480192,0.1838755607399914
VY Mon,207044437,Cody et al.,,10089.7,3.171,13.959769,2.847522,Herbig Ae/Be,B6-B7,J06310692+1026049,12.74,N,97.77883333333332,10.434694444444444,3327886213092092800,0.09210713097524335
PDS 129,207045303,Cody et al.,,6333.1,1.5029,11.924835,0.983832,Herbig Ae/Be,F2-F3,J06310363+1001133,11.42,N,97.76512499999998,10.020361111111113,3327308797687987584,0.14005403335232744
UX Ori,213103713,Cody et al.,,,3.1004,10.713815,0.884583,Herbig Ae/Be,A3-A6,J05042998-0347142,10.01,N,76.12491666666665,-3.7872777777777777,3212878018378138752,0.2023150353676587
HBC 222,220322651,Cody et al.,,,1.385,11.884166,0.816879,Herbig Ae/Be,F3-F6,J06405118+0944461,11.47,N,100.21325,9.746138888888888,3326712411411788032,0.06312814097999153
HD 259431,229340364,Cody et al.,,,1.5304,8.695992,0.682612,Herbig Ae/Be,B7,J06330519+1019199,8.31,N,98.27162499999999,10.322194444444444,3327685002463040384,0.046299961238480854
TY CrA,254045303,Cody et al.,,,6.2851,9.232023,1.091164,Herbig Ae/Be,B8,J19014081-3652337,8.65,N,285.4200416666666,-36.87602777777778,6731200706257840384,0.6891024108355185
HD 139614,254387071,Cody et al.,,7513.0,7.484,8.218988,0.339088,Herbig Ae/Be,A7-A9,J15404638-4229536,8.03,N,235.19324999999995,-42.498222222222225,6001669793442284416,0.4359184246274415
HD 142527,255191560,Cody et al.,,15001.3,6.2791,8.114528,1.004234,Herbig Ae/Be,F2-F3,J15564188-4219232,7.57,N,239.1745,-42.32311111111112,5994826707951507200,0.47400963217945213
VOS 84,261539498,Cody et al.,,7093.9,0.8322,13.33572,0.919014,Herbig Ae/Be,A8,J05081303+4214558,12.85,N,77.05429166666666,42.24883333333334,201374425057424512,0.20832594561972434
V346 Ori,264460023,Cody et al.,,,2.948,10.078487,0.366664,Herbig Ae/Be,A7-A9,J05244279+0143482,9.9,N,81.17829166666667,1.7300555555555557,3222263312193940096,0.2165707875360991
VOS 2047,265290711,Cody et al.,,9893.1,0.2903,13.098687,1.12611,Herbig Ae/Be,B9.5,J02464395+5921168,12.52,N,41.68312499999999,59.35466666666667,464144544317484544,0.05451076752835789
LkHa 259,265464119,Cody et al.,,,1.3821,14.236583,2.63106,Herbig Ae/Be,A7-A9,J23584164+6626126,13.02,N,359.67349999999993,66.43683333333334,2209766862845871104,0.09988189258285954
VOS 200,266773096,Cody et al.,,,0.3923,12.931384,1.603399,Herbig Ae/Be,A0,J04054937+5128348,12.13,N,61.45570833333332,51.476333333333336,250764453016220800,0.2818320294890217
MWC 1080,269112596,Cody et al.,,,0.6713,10.925151,2.184708,Herbig Ae/Be,B0,J23172558+6050436,9.8,N,349.3565833333333,60.845444444444446,2014109142339316096,0.1883566772584413
VOS 42,272142683,Cody et al.,,6106.1,1.2777,13.095105,1.856038,Herbig Ae/Be,B,J23422673+6337387,12.21,N,355.61137499999995,63.62741666666667,2016307791941936896,0.010752151072775279
HD 98922,272956728,Cody et al.,,,1.5364,6.730214,0.171003,Herbig Ae/Be,B8-B9,J11223166-5322114,6.65,N,170.63191666666665,-53.36983333333333,5348312633858297344,0.04465015762608401
VOS 898,272995440,Cody et al.,,,0.4339,12.926794,1.326455,Herbig Ae/Be,A0,J04301623+4852099,12.25,N,67.56762499999998,48.869416666666666,258477905042591488,0.08048180107555304
HD 290770,276661825,Cody et al.,,,2.5194,9.214877,0.089149,Herbig Ae/Be,B8,J05370245-0137213,9.2,N,84.26020833333332,-1.6225833333333333,3217370485451141760,0.08675724225433841
HD 100546,280773136,Cody et al.,,9307.1,9.2494,6.685849,0.051051,Herbig Ae/Be,A0-A1,J11332542-7011412,6.66,N,173.35591666666667,-70.19477777777779,5233604915060520576,0.5153098072693236
PDS 229N,283096205,Cody et al.,,,-1.1811,13.507894,0.992456,Herbig Ae/Be,B7,J06554005-0309506,12.8,Y,103.91687499999999,-3.1640555555555556,3102865489114782080,0.30543982944838155
VOS 70,284214915,Cody et al.,,,0.8561,12.907528,2.117201,Herbig Ae/Be,A7,J00365177+6329300,11.94,N,9.215708333333332,63.49166666666667,430854252809011200,0.11161124296195904
GSC 8143-1225,285920558,Cody et al.,,,2.6713,12.699807,1.203525,Herbig Ae/Be,F1-F4,J07591156-5022468,12.18,N,119.79816666666665,-50.379666666666665,5514060468383125888,0.06711107546094647
VOS 588,286322252,Cody et al.,,,0.4333,12.962005,1.195202,Herbig Ae/Be,B8,J02590513+6054041,12.37,N,44.77137499999999,60.90113888888889,466147613983225472,0.04104091335087382
HD 37258,287757971,Cody et al.,,10379.6,2.6319,9.631053,0.194995,Herbig Ae/Be,A0-A1,J05365925-0609164,9.53,N,84.24687499999999,-6.154555555555556,3016986239338948224,0.061571643836398765
BF Ori,287840183,Cody et al.,,,2.6173,10.38022,0.51645,Herbig Ae/Be,A2-A3,J05371326-0635005,10.07,N,84.30524999999999,-6.5834722222222215,3016930993175889792,0.07606139608591059
VOS 69,288924907,Cody et al.,,,1.4353,13.883293,1.406397,Herbig Ae/Be,A3,J20590591+4805368,12.26,N,314.774625,48.09355555555556,2166981120209304576,0.09458546944700362
LkHa 324,290064548,Cody et al.,,9664.5,1.607,12.209738,1.617393,Herbig Ae/Be,B7-B8,J21035423+5015101,11.39,N,315.9759583333333,50.252805555555554,2168758339005340160,0.16607235809807447
Hen 3-1121S,293537745,Cody et al.,,26173.4,0.5172,11.08054,1.166385,Herbig Ae/Be,O-B0,J15580967-5351349,10.47,Y,239.54029166666663,-53.85969444444444,5980805804371855232,0.3885436395306442
V2019 Cyg,297154074,Cody et al.,,6485.1,1.173,11.033224,1.058733,Herbig Ae/Be,B8,J20480478+4347258,10.46,N,312.01991666666663,43.7905,2067031939819593600,0.026607076069296482
Hen 3-938,299797908,Cody et al.,,,0.1718,12.377528,2.125158,Herbig Ae/Be,O,J13524285-6332492,11.36,N,208.17854166666663,-63.547,5864468055290145792,0.13321193516154956
HD 36408,302824830,Cody et al.,,,2.8515,6.062156,0.033025,Herbig Ae/Be,B6-B7,J05321413+1703292,6.08,Y,83.05887499999999,17.058111111111113,3397264537809127936,0.13284463727422235
HD 96042,305447083,Cody et al.,,,0.3573,8.428286,0.208593,Herbig Ae/Be,B0,J11034056-5925590,8.41,N,165.91899999999998,-59.433055555555555,5338522238768987008,0.09911745100503856
HD 135344,307606851,Cody et al.,,,7.4105,7.748194,0.089311,Herbig Ae/Be,F0-F2,J15154894-3708558,7.71,N,228.95391666666666,-37.148833333333336,6199395656645840384,0.3874291757189544
GSC 1876-0892,309449806,Cody et al.,,,0.1809,13.812414,2.099655,Herbig Ae/Be,B4,J06071539+2957550,12.71,Y,91.81412499999998,29.96527777777778,3437597063855615104,0.05114816988038519
VOS 32,311826580,Cody et al.,,,0.8317,14.577346,2.034157,Herbig Ae/Be,G0,J00385008+5954101,13.82,N,9.708666666666664,59.90280555555555,425559107889037568,0.0662908027390302
VOS 250,312493387,Cody et al.,,,0.8677,12.770996,0.737338,Herbig Ae/Be,A3,J20140898+4029502,12.46,N,303.5374166666666,40.49727777777778,2062526622213061760,0.05418446698201325
VOS 290,317789227,Cody et al.,,,0.3525,12.878792,1.323887,Herbig Ae/Be,B2,J11311339-6350120,10.96,N,172.80579166666666,-63.836666666666666,5333514409950744704,0.0626388136244903
VOS 1336,319939254,Cody et al.,,6767.2,0.41,13.400743,1.061123,Herbig Ae/Be,B2.5-B9.5,J11374699-6342562,12.88,Y,174.44579166666665,-63.715611111111116,5333545642950621696,0.23705891432807571
HD 101412,320547523,Cody et al.,,,2.4262,9.216021,0.294794,Herbig Ae/Be,B9-A0,J11394445-6010278,9.07,N,174.93520833333332,-60.174388888888885,5336220823491735680,0.021321745867785236
V361 Cep,322312832,Cody et al.,,5793.6,1.119,9.929882,0.748085,Herbig Ae/Be,B4,J21425018+6606351,9.53,N,325.70908333333324,66.10974999999999,2218012096241598976,0.03875147140424492
HD 37357,332856261,Cody et al.,,10050.5,2.1466,8.856716,0.184221,Herbig Ae/Be,B9,J05374708-0642301,7.38,N,84.44616666666667,-6.708361111111111,3016879109970689024,0.09995534611919564
V1787 Ori,332856968,Cody et al.,,,2.5092,13.0072,2.274186,Herbig Ae/Be,A3-A4,J05380931-0649166,12.0,N,84.53879166666665,-6.8212777777777776,3016864678880575616,0.0842735334512126
