Target,TIC,Author,Sector,Temperature,Plx,Gmag,BP-RP,Type,Spectral Type,2MASS,TESS Mag,Blend,ra,dec,Gaia DR3 Source ID,Gaia Match Sep arcsec
T Ori,427396230,Cody et al.,,,2.4843,11.287081,1.095647,Herbig Ae/Be,A0-A1,J05355043-0528349,10.87,N,83.96012499999998,-5.476361111111111,3017347673735214592,0.309015653198719
PDS 4,427577547,Cody et al.,,,2.5405,10.57882,0.544682,Herbig Ae/Be,B9-A0,J03390056+2941457,10.3,N,54.752333333333326,29.69602777777778,120035647206281344,0.05979136577898037
AS 477,427938329,Cody et al.,,,1.3001,10.010234,0.67308,Herbig Ae/Be,B8-B9,J21523408+4713436,9.7,N,328.142,47.22877777777778,1974732783388041216,0.15256855392215765
VX Cas,428476066,Cody et al.,,,1.8537,11.381415,0.493629,Herbig Ae/Be,B9,J00313068+6158509,11.19,N,7.877833333333333,61.980805555555555,430319134244652160,0.07862011491412096
VOS 121,430006517,Cody et al.,,9251.7,1.0765,13.19431,0.918087,Herbig Ae/Be,B9.5,J21351915+5736382,12.75,N,323.8297916666666,57.61061111111111,2178435351312223488,0.14672303969359707
VOS 274,434633379,Cody et al.,,10831.1,1.2441,13.027586,1.069039,Herbig Ae/Be,A3,J23022850+6316309,12.54,N,345.61875,63.27525,2207681742123365120,0.15214406779920953
V374 Cep,434972921,Cody et al.,,,1.1893,10.264091,1.25106,Herbig Ae/Be,B3-B5,J23050746+6215362,9.58,N,346.28108333333324,62.26005555555555,2207340064583721344,0.26703090668985396
HD 245185,436098606,Cody et al.,,,2.4087,9.855999,0.162644,Herbig Ae/Be,B9,J05350960+1001515,9.79,N,83.78999999999998,10.030972222222223,3338005774514542720,0.09221757845682707
MWC 137,437994564,Cody et al.,,35000.5,0.194,11.177768,1.857129,Herbig Ae/Be,B1,J06184553+1516522,10.23,N,94.68970833333331,15.281166666666667,3344973478481675264,0.12461140046145576
HD 17081,441152806,Cody et al.,,,8.4022,4.205342,-0.140389,Herbig Ae/Be,B7,J02440733-1351312,4.38,N,41.03054166666666,-13.858666666666666,5158225936898617344,0.4734900985114665
PDS 297,441744490,Cody et al.,,9730.2,0.5919,11.952871,0.500562,Herbig Ae/Be,B8,J09424032-5615341,11.85,N,145.66799999999998,-56.25947222222222,5307794801431714944,0.09535940513683229
VOS 787,444356276,Cody et al.,,29810.6,0.2397,13.430403,1.128944,Herbig Ae/Be,B1.5,J00231367+6159318,12.9,N,5.806958333333333,61.99216666666667,430481140413947520,0.10907909753946085
HD 41511,445062554,Cody et al.,,,3.5742,4.658218,0.9589,Herbig Ae/Be,B9-A0,J06045913-1629039,4.18,N,91.24637499999999,-16.484416666666668,2991407583086382592,0.164491066816057
HD 34700,449260863,Cody et al.,,6041.3,2.8532,9.038646,0.757983,Herbig Ae/Be,F8-G1,J05194140+0538428,8.61,N,79.92249999999999,5.6452222222222215,3237512159786454272,0.14308101890786465
HD 100453,452035938,Cody et al.,,7160.9,9.6355,7.735444,0.412873,Herbig Ae/Be,A9-F0,J11330559-5419285,7.5,N,173.27329166666667,-54.32458333333334,5345011040956367104,0.7220591895742625
VOS 104,452248316,Cody et al.,,7989.1,1.2235,12.792563,1.025302,Herbig Ae/Be,A2,J19471649+2719558,12.28,Y,296.81870833333335,27.332166666666666,2027980718477508480,0.06307938258280799
DG Cir,454215115,Cody et al.,,,1.1586,12.52597,1.879089,Herbig Ae/Be,A2-A3,J15032380-6322588,11.72,N,225.84916666666663,-63.383,5873625204766490240,0.16027604148969962
HD 132947,454274408,Cody et al.,,,2.632,8.902752,0.085302,Herbig Ae/Be,B8-B9,J15045606-6307526,8.91,N,226.23358333333329,-63.131277777777775,5873652245882188800,0.2393352047882749
HD 97048,454291762,Cody et al.,,,5.4228,8.352166,0.600166,Herbig Ae/Be,B8,J11080329-7739174,8.07,N,167.0137083333333,-77.65483333333334,5201128124701636864,0.30141921150027046
LkHa 257,455573060,Cody et al.,,,1.2482,13.046227,1.050835,Herbig Ae/Be,A1-A2,J21541877+4712096,12.51,N,328.5782083333333,47.20266666666667,1976042404824692736,0.06748448204654524
VOS 56,456030854,Cody et al.,,,1.1109,13.714125,1.304226,Herbig Ae/Be,A4,J22411697+6302377,13.18,Y,340.3207083333333,63.04380555555555,2208194286334441344,0.2535481199689779
HD 290409,457231768,Cody et al.,,,2.4443,9.964387,0.173249,Herbig Ae/Be,B9,J05270547+0025075,9.88,N,81.77279166666666,0.41875,3221803269657702400,0.15423843244463128
PDS 322,459571845,Cody et al.,,19982.3,0.2381,12.029991,0.360342,Herbig Ae/Be,B2,J10520871-5612066,11.82,N,163.03629166666664,-56.20183333333333,5352646560788258176,0.2791653531487881
HD 94509,459699513,Cody et al.,,,0.6096,9.132844,0.072871,Herbig Ae/Be,B7,J10532726-5825245,9.15,N,163.3635833333333,-58.42347222222222,5338872261413522560,0.1046197725529977
HD 287823,459990291,Cody et al.,,10453.9,2.8882,9.695356,0.231715,Herbig Ae/Be,A4-A6,J05240804+0227468,9.58,N,81.0335,2.463,3234348869128542080,0.16586195036587248
HD 305298,460571412,Cody et al.,,18660.0,0.215,10.780341,0.387756,Herbig Ae/Be,O,J10330498-6019513,9.46,N,158.27075,-60.33091666666667,5254380805795046784,0.0480503820666614
HD 87643,462436722,Cody et al.,,19160.8,0.6293,8.709893,1.389318,Herbig Ae/Be,B4,J10043028-5839521,8.04,N,151.12616666666662,-58.66447222222222,5258349561694308096,0.1314946586538842
PDS 37,462878642,Cody et al.,,,0.6142,12.695196,2.362153,Herbig Ae/Be,B2-B3,J10100032-5702073,11.51,N,152.50133333333332,-57.03536111111111,5258914706349974656,0.047468536698492464
MWC 878,463597276,Cody et al.,,,0.5271,10.2412,1.213756,Herbig Ae/Be,B0,J17244469-3843514,9.62,N,261.1862083333333,-38.73094444444445,5972520571950262656,0.18204766389554974
HD 323771,465196254,Cody et al.,,,0.9105,10.989243,0.595865,Herbig Ae/Be,B5-B6,J17340462-3923413,10.72,N,263.51924999999994,-39.39480555555556,5961690829150011264,0.07538120181557352
PDS 324,465790701,Cody et al.,,15215.1,0.2564,14.210133,1.429339,Herbig Ae/Be,B2-B3,J10572427-6253132,13.62,N,164.35112499999997,-62.887,5241658494167182848,0.16932581537251906
SV Cep,467356861,Cody et al.,,9431.1,2.9257,10.36279,0.637604,Herbig Ae/Be,A3-A4,J22213319+7340270,10.03,N,335.38829166666665,73.67416666666666,2230965309587597824,0.23347687985392754
AS 470,469534433,Cody et al.,,35458.3,0.0989,12.160771,1.352656,Herbig Ae/Be,A4-A7,J21361422+5721309,11.49,Y,324.05924999999996,57.358583333333335,2178416625254778624,0.06502911685871067
XY Per A,642035133,Cody et al.,,10509.3,2.3537,9.499481,0.690922,Herbig Ae/Be,B9,J03493638+3858556,9.12,Y,57.40158333333332,38.98211111111112,223935338503901952,0.41116345977277874
PDS 22,709004859,Cody et al.,,,1.4017,11.034444,0.251432,Herbig Ae/Be,B9,J06033705-1453025,10.72,Y,90.90437499999999,-14.884027777777778,2994058746135940352,0.5500172570399702
HD 76534,816058534,Cody et al.,,30162.4,1.1299,8.251668,0.283591,Herbig Ae/Be,B2,J08550867-4327596,8.2,Y,133.78612499999997,-43.46655555555556,5332070987385762304,0.3682310283396584
HD 141926,1139218134,Cody et al.,,41286.7,0.7316,8.689341,0.898471,Herbig Ae/Be,B0,J15542182-5519443,8.21,Y,238.59091666666663,-55.32897222222223,5884544931471259136,0.4998326508460036
