Target,TIC,Author,Sector,Temperature,Plx,Gmag,BP-RP,Type,Spectral Type,2MASS,TESS Mag,Blend,ra,dec
T Ori,427396230,Cody et al.,,,,,,Ae*,A0-A1,J05355043-0528349,10.87,N,83.96012499999998,-5.476361111111111
PDS 4,427577547,Cody et al.,,,,,,Or*,B9-A0,J03390056+2941457,10.3,N,54.752333333333326,29.69602777777778
AS 477,427938329,Cody et al.,,,,,,Ae*,B8-B9,J21523408+4713436,9.7,N,328.142,47.22877777777778
VX Cas,428476066,Cody et al.,,,,,,Ae*,B9,J00313068+6158509,11.19,N,7.877833333333333,61.980805555555555
VOS 121,430006517,Cody et al.,,,,,,Ae*,B9.5,J21351915+5736382,12.75,N,323.8297916666666,57.61061111111111
VOS 274,434633379,Cody et al.,,,,,,LP*,A3,J23022850+6316309,12.54,N,345.61875,63.27525
V374 Cep,434972921,Cody et al.,,,,,,Ae*,B3-B5,J23050746+6215362,9.58,N,346.28108333333324,62.26005555555555
HD 245185,436098606,Cody et al.,,,,,,Ae*,B9,J05350960+1001515,9.79,N,83.78999999999998,10.030972222222223
MWC 137,437994564,Cody et al.,,,,,,Ae*,B1,J06184553+1516522,10.23,N,94.68970833333331,15.281166666666667
HD 17081,441152806,Cody et al.,,,,,,SB*,B7,J02440733-1351312,4.38,N,41.03054166666666,-13.858666666666666
PDS 297,441744490,Cody et al.,,,,,,Or*,B8,J09424032-5615341,11.85,N,145.66799999999998,-56.25947222222222
VOS 787,444356276,Cody et al.,,,,,,Y*O,B1.5,J00231367+6159318,12.9,N,5.806958333333333,61.99216666666667
HD 41511,445062554,Cody et al.,,,,,,Sy*,B9-A0,J06045913-1629039,4.18,N,91.24637499999999,-16.484416666666668
HD 34700,449260863,Cody et al.,,,,,,Or*,F8-G1,J05194140+0538428,8.61,N,79.92249999999999,5.6452222222222215
HD 100453,452035938,Cody et al.,,,,,,Ae*,A9-F0,J11330559-5419285,7.5,N,173.27329166666667,-54.32458333333334
VOS 104,452248316,Cody et al.,,,,,,Y*O,A2,J19471649+2719558,12.28,Y,296.81870833333335,27.332166666666666
