Target,TIC,Author,Sector,Temperature,Plx,Gmag,BP-RP,Type,Spectral Type,Lightcurve Notes
MWC 137,437994564,SPOC,72,4754,0.194,11.177768,1.857129,Ae*,sgB[e]d,"Amplitude 1-2%, smooth at beginning then pointed at end, fuzzy"
HD 17081,441152806,SPOC,4,12623,8.4022,4.205342,-0.140389,SB*,B8,"Dips of 0.1% or 0.2%, smooth, fuzzy"
HD 17081,441152806,SPOC,31,12623,8.4022,4.205342,-0.140389,SB*,B8,"Dips of 0.1-0.3%, smooth, fuzzy"
PDS 297,441744490,QLP,9,7719,0.5919,11.952871,0.500562,Or*,A7,"Amplitude 0.5%, overall decrease of 4%, jagged"
PDS 297,441744490,QLP,10,7719,0.5919,11.952871,0.500562,Or*,A7,"Amplitude 0.5%, overall increase of 3%, jagged"
PDS 297,441744490,QLP,36,7719,0.5919,11.952871,0.500562,Or*,A7,"Amplitude 0.5%, overall increase of 6%, jagged"
PDS 297,441744490,QLP,37,7719,0.5919,11.952871,0.500562,Or*,A7,"Amplitude 0.5%, overall decrease of 6%, jagged"
PDS 297,441744490,QLP,62,7719,0.5919,11.952871,0.500562,Or*,A7,"Amplitude 0.5%, overall increase of 8%, jagged, fuzzy"
PDS 297,441744490,QLP,64,7719,0.5919,11.952871,0.500562,Or*,A7,"Amplitude 0.5%, overall increase of 8%, jagged, fuzzy"
PDS 297,441744490,QLP,89,7719,0.5919,11.952871,0.500562,Or*,A7,"Amplitude 0.5%, overall increase of 8%, jagged, fuzzy"
PDS 297,441744490,QLP,90,7719,0.5919,11.952871,0.500562,Or*,A7,"75% amplitude, fuzzy (no longer small oscillation structure)"
VOS 787,444356276,QLP,17,10567,0.2397,13.430403,1.128944,Y*O,N/A,"Overall amplitude ~5% with smaller amplitude 1%, jagged, low freq periodogram has many peaks"
VOS 787,444356276,QLP,18,10567,0.2397,13.430403,1.128944,Y*O,N/A,"Overall amplitude ~5% with smaller amplitude 1%, jagged, low freq periodogram has many peaks (less prominent)"
VOS 787,444356276,QLP,24,10567,0.2397,13.430403,1.128944,Y*O,N/A,"250% and 200% decrease humps, jagged"
VOS 787,444356276,QLP,58,10567,0.2397,13.430403,1.128944,Y*O,N/A,"Overall amplitude ~5% with smaller amplitude 1%, jagged, low freq periodogram has many peaks (less prominent)"
VOS 787,444356276,QLP,78,10567,0.2397,13.430403,1.128944,Y*O,N/A,"Overall amplitude ~5% with smaller amplitude 1%, jagged, low freq periodogram has many peaks (less prominent)"
VOS 787,444356276,QLP,85,10567,0.2397,13.430403,1.128944,Y*O,N/A,"Overall amplitude ~2% with smaller amplitude 1%, jagged, low freq periodogram has many peaks (less prominent)"
HD 34700,449260863,TESS-SPOC,32,6242,2.8532,9.038646,0.757983,Or*,G0,"Amplitude <0.2%, fuzzy, periodic with three peaks (looking at low-pass trends)"
VOS 104,452248316,SPOC,75,6371,1.2235,12.792563,1.025302,Y*O,A9,"Amplitude 10-20%, fuzzy, lots of data missing"
VOS 104,452248316,SPOC,81,6371,1.2235,12.792563,1.025302,Y*O,A9,"Amplitude 10-20%, fuzzy, pulsations in periodogram 20-40"
DG Cir,454215115,QLP,12,4502,1.1586,12.52597,1.879089,Ae*,Ae/Be,"Amplitude 3-5%, jagged, aperiodic"
DG Cir,454215115,QLP,38,4502,1.1586,12.52597,1.879089,Ae*,Ae/Be,"Amplitude 3-5% with 15% dip, jagged with smooth shape, aperiodic"
DG Cir,454215115,QLP,39,4502,1.1586,12.52597,1.879089,Ae*,Ae/Be,"Amplitude 3-5% with 10% dip and pointed spikes, jagged with smooth shape, aperiodic"
DG Cir,454215115,QLP,65,4502,1.1586,12.52597,1.879089,Ae*,Ae/Be,"Amplitude 3-5% with 10% dip and pointed spikes, jagged with smooth shape, aperiodic"
DG Cir,454215115,QLP,100,4502,1.1586,12.52597,1.879089,Ae*,Ae/Be,"Amplitude 3-5% with 10% dip, jagged with smooth shape, aperiodic"
DG Cir,454215115,QLP,101,4502,1.1586,12.52597,1.879089,Ae*,Ae/Be,"Amplitude 3-5% with 15% dip, jagged with smooth shape, aperiodic"
HD 132947,454274408,QLP,12,13868,2.632,8.902752,0.085302,Or*,B9,"0.1% amplitude with 0.4% overall variation, jagged"
HD 132947,454274408,QLP,38,13868,2.632,8.902752,0.085302,Or*,B9,"0.6% increase overall, fuzzy"
HD 132947,454274408,QLP,39,13868,2.632,8.902752,0.085302,Or*,B9,"Flat, little variation (0.2%), fuzzy"
HD 132947,454274408,QLP,99,13868,2.632,8.902752,0.085302,Or*,B9,"2.5% decrease overall, fuzzy"
HD 132947,454274408,QLP,100,13868,2.632,8.902752,0.085302,Or*,B9,"2.5% decrease overall, fuzzy"
HD 132947,454274408,QLP,101,13868,2.632,8.902752,0.085302,Or*,B9,"1% increase overall, fuzzy"
HD 97048,454291762,SPOC,64,10889,5.4228,8.352166,0.600166,Ae*,A0,"Amplitude 0.5% with 2.5% dip, pointed, jagged, a bit fuzzy"
HD 97048,454291762,SPOC,66,10889,5.4228,8.352166,0.600166,Ae*,A0,"Amplitude 0.25-0.75%, pointed, jagged, a bit fuzzy"
HD 97048,454291762,SPOC,93,10889,5.4228,8.352166,0.600166,Ae*,A0,"12% dips and 1-2% amplitude after that, pointed"
LkHa 257,455573060,QLP,16,6456,1.2482,13.046227,1.050835,Ae*,B5/A2,"0.5% amplitude, a bit fuzzy, smooth"
LkHa 257,455573060,QLP,56,6456,1.2482,13.046227,1.050835,Ae*,B5/A2,"Relatively flat with 4% and 8% dips, smooth, fuzzy"
LkHa 257,455573060,QLP,76,6456,1.2482,13.046227,1.050835,Ae*,B5/A2,"Relatively flat (with 1% slight variation), fuzzy"
LkHa 257,455573060,QLP,83,6456,1.2482,13.046227,1.050835,Ae*,B5/A2,"Relatively flat with 5% and 10% dips, smooth, fuzzy"
VOS 56,456030854,QLP,18,6928,1.1109,13.714125,1.304226,**,N/A,"5% and 20% amplitudes, a bit jagged"
VOS 56,456030854,QLP,24,6928,1.1109,13.714125,1.304226,**,N/A,"5% amplitude with 60-80% dips, smooth, jagged"
VOS 56,456030854,QLP,57,6928,1.1109,13.714125,1.304226,**,N/A,5% amplitude with 20% dips and 100% increase at end
VOS 56,456030854,QLP,58,6928,1.1109,13.714125,1.304226,**,N/A,5% amplitude with 20-60% dips
VOS 56,456030854,QLP,77,6928,1.1109,13.714125,1.304226,**,N/A,5% amplitude with 50% drop
VOS 56,456030854,QLP,78,6928,1.1109,13.714125,1.304226,**,N/A,5% amplitude with a couple spikes in lc
VOS 56,456030854,QLP,84,6928,1.1109,13.714125,1.304226,**,N/A,5% amplitude with 40% dips
VOS 56,456030854,QLP,85,6928,1.1109,13.714125,1.304226,**,N/A,5% amplitude with 80% dip
HD 290409,457231768,TESS-SPOC,6,8785,2.4443,9.964387,0.173249,Or*,B8.5,"Amplitude 1-3%, both pointed and smooth, a bit jagged"
HD 290409,457231768,TESS-SPOC,32,8785,2.4443,9.964387,0.173249,Or*,B8.5,"Amplitude 3% at beginning then 1% at end, both pointed and smooth, a bit jagged"
PDS 322,459571845,QLP,36,7926,0.2381,12.029991,0.360342,Or*,B3,"Overall decrease of 30% with 20% drops, fuzzy"
PDS 322,459571845,QLP,37,7926,0.2381,12.029991,0.360342,Or*,B3,"Amplitude 5% with 20% drops, fuzzy"
PDS 322,459571845,QLP,63,7926,0.2381,12.029991,0.360342,Or*,B3,Amplitude 10% with 20% drops
PDS 322,459571845,QLP,64,7926,0.2381,12.029991,0.360342,Or*,B3,"Amplitude 10% with 20% drops, periodogram peaks in low freq"
PDS 322,459571845,QLP,90,7926,0.2381,12.029991,0.360342,Or*,B3,"Amplitude 5% with 20% drops, fuzz with 30% increase at end"
PDS 322,459571845,QLP,99,7926,0.2381,12.029991,0.360342,Or*,B3,Flat and fuzzy with 20% drops
PDS 322,459571845,QLP,100,7926,0.2381,12.029991,0.360342,Or*,B3,"Overall 40% drop with 20% drops, bumpy"
HD 94509,459699513,SPOC,63,14553,0.6096,9.132844,0.072871,Be*,B3,"Amplitude 0.4%, periodic, fuzzy, peaks in low freq periodogram"
HD 94509,459699513,SPOC,64,14553,0.6096,9.132844,0.072871,Be*,B3,"Amplitude 0.4%, periodic, fuzzy, peaks in low freq periodogram"
HD 305298,460571412,QLP,10,9207,0.215,10.780341,0.387756,Or*,O8,"Amplitude 0.4% with long period, fuzzy"
HD 305298,460571412,QLP,11,9207,0.215,10.780341,0.387756,Or*,O8,8% overall increase with 0.5% amplitude variation
HD 305298,460571412,QLP,36,9207,0.215,10.780341,0.387756,Or*,O8,"0.6% overall decrease, fuzzy"
HD 305298,460571412,QLP,37,9207,0.215,10.780341,0.387756,Or*,O8,"0.1% amplitude, fuzzy"
HD 305298,460571412,QLP,63,9207,0.215,10.780341,0.387756,Or*,O8,"2.5% overall decrease, fuzzy"
HD 305298,460571412,QLP,64,9207,0.215,10.780341,0.387756,Or*,O8,"1.5% overall decrease, fuzzy"
HD 305298,460571412,QLP,90,9207,0.215,10.780341,0.387756,Or*,O8,"Slightly parabolic (min0.998, max1.002), fuzzy"
HD 305298,460571412,QLP,99,9207,0.215,10.780341,0.387756,Or*,O8,"Flat, fuzzy, increase/decrease by 0.25% at end (from TESS?)"
HD 87643,462436722,TESS-SPOC,63,10145,0.6293,8.709893,1.389318,Or*,B3,"0.5-3% amplitude oscillations, pointed, jagged, bumpy high freq periodogram"
HD 87643,462436722,TESS-SPOC,64,10145,0.6293,8.709893,1.389318,Or*,B3,"0.5-4% amplitude oscillations, pointed, jagged, bumpy high freq periodogram"
PDS 37,462878642,QLP,9,6273,0.6142,12.695196,2.362153,Or*,Be,"10% overall decrease with 2-5% amplitude, pointed, jagged"
PDS 37,462878642,QLP,10,6273,0.6142,12.695196,2.362153,Or*,Be,"10% overall decrease with 2-5% amplitude, pointed, jagged"
PDS 37,462878642,QLP,36,6273,0.6142,12.695196,2.362153,Or*,Be,"2-10% amplitude oscillations, some pointed and some smooth, jagged"
PDS 37,462878642,QLP,37,6273,0.6142,12.695196,2.362153,Or*,Be,"2-5% amplitude oscillations, some pointed and some smooth, jagged"
PDS 37,462878642,QLP,63,6273,0.6142,12.695196,2.362153,Or*,Be,"2-7% amplitude oscillations, pointed, jagged, fuzzy"
PDS 37,462878642,QLP,64,6273,0.6142,12.695196,2.362153,Or*,Be,"2-10% amplitude oscillations, pointed, jagged, fuzzy"
PDS 37,462878642,QLP,90,6273,0.6142,12.695196,2.362153,Or*,Be,"2-10% amplitude oscillations, pointed, jagged, fuzzy"
PDS 37,462878642,QLP,99,6273,0.6142,12.695196,2.362153,Or*,Be,"2-6% amplitude oscillations, pointed, jagged, fuzzy"
MWC 878,463597276,TESS-SPOC,66,7472,0.5271,10.2412,1.213756,Ae*,B1,"0.1-0.5% amplitude oscillations, fuzzy, pointed"
HD 323771,465196254,QLP,12,12747,0.9105,10.989243,0.595865,Or*,B5,"4% amplitude to 2%, 6% drop in middle, jagged"
HD 323771,465196254,QLP,39,12747,0.9105,10.989243,0.595865,Or*,B5,"2-5% amplitude with 10% dips, jagged"
HD 323771,465196254,QLP,66,12747,0.9105,10.989243,0.595865,Or*,B5,"2-5% amplitude with 7% dips, jagged"
HD 323771,465196254,QLP,93,12747,0.9105,10.989243,0.595865,Or*,B5,"2-5% amplitude with 10% dips, jagged"
PDS 324,465790701,QLP,10,4036,0.2564,14.210133,1.429339,Or*,B1,"7.5% and 15% dips (periodic) with 0.5% amplitude oscillations, many peaks in low freq periodogram"
PDS 324,465790701,QLP,11,4036,0.2564,14.210133,1.429339,Or*,B1,"7.5% dips (periodic) with 0.5% amplitude oscillations, many peaks in low freq periodogram"
SV Cep,467356861,SPOC,77,6625,2.9257,10.36279,0.637604,Ae*,A2,"0.5-2% amplitude, fuzzy, pointed"
SV Cep,467356861,SPOC,79,6625,2.9257,10.36279,0.637604,Ae*,A2,"0.5-2% amplitude with 5-20% dips, fuzzy, pointed"
XY Per A,201357489,QLP,18,8665,2.3537,9.499481,0.690922,Ae*,A2+B6,"15% amplitude then 5% amplitude, smooth"
XY Per A,201357489,QLP,86,8665,2.3537,9.499481,0.690922,Ae*,A2+B6,"5% amplitude, lots of missing data"
PDS 22,306331186,QLP,33,5766,1.4017,11.034444,0.251432,**,A0,"0.2% amplitude, fuzzy"
PDS 22,306331186,QLP,87,5766,1.4017,11.034444,0.251432,**,A0,"4% decrease then flat, fuzzy"
HD 76534,30051402,QLP,35,4629,1.1299,8.251668,0.283591,Be*,B2,"0.25-0.5% amplitude (varying a lot), quasi periodic, many peaks in low freq periodogram"
HD 76534,30051402,QLP,36,4629,1.1299,8.251668,0.283591,Be*,B2,"0.25-0.5% amplitude (varying a lot), quasi periodic, peaks 0-10 in periodogram"
HD 76534,30051402,QLP,89,4629,1.1299,8.251668,0.283591,Be*,B2,"0.25-0.5% amplitude (varying a lot) with 1% overall variation, quasi periodic, peaks 0-10 in periodogram"
HD 141926,1139218134,QLP,39,7072,0.7316,8.689341,0.898471,HXB,B2,"4% dips along 1% amplitude sinusoid, peaks in low freq periodogram"
HD 141926,1139218134,QLP,65,7072,0.7316,8.689341,0.898471,HXB,B2,"4% dips along 2% amplitude sinusoid, peaks in low freq periodogram"
V* SX Cha,277553960,SPOC,93,3641,5.450145247,14.237269,2.4190235,Or*,M1.5+M3,"50% dips with 200% peaks, jagged, pointed"
V* SZ Cha,277671331,SPOC,93,4516,5.257345188,11.730309,1.7643089,Or*,K0e,"Periodic dips of 50-60%, smooth with some jagged"
V* TW Cha,277671413,SPOC,64,4377,5.460943766,12.761674,1.8721848,Or*,K8Ve,"Amplitude 10-15%, spiky, a bit fuzzy, sharp"
V* TW Cha,277671413,SPOC,65,4377,5.460943766,12.761674,1.8721848,Or*,K8Ve,"Amplitude 10-15% with 40% peaks, spiky, a bit fuzzy, sharp"
V* TW Cha,277671413,SPOC,66,4377,5.460943766,12.761674,1.8721848,Or*,K8Ve,"Amplitude 10-15%, spiky, a bit fuzzy, sharp"
V* TW Cha,277671413,SPOC,93,4377,5.460943766,12.761674,1.8721848,Or*,K8Ve,"Amplitude 20-30%, spiky, a bit fuzzy, sharp"
Ass Cha T 1-16,454291764,,,5624,5.382118444,15.427874,2.5703192,Or*,K4-7,"CDIPS is the ""best"" lc available"
V* VW Cha,454291735,SPOC,93,3613,5.31466759,12.402748,2.2107801,Or*,K7+M0,"Amplitude ~5% with 20% dips, relatively smooth overall, fuzzy, spiky"
V* HP Cha,454291793,SPOC,93,5414,5.338141767,10.54174,1.7151508,TT*,K3+G5e,"Amplitude 2%, fuzzy, periodic, smooth with some spikes"
V* PU Car,454326202,QLP,11,3774,5.249008922,13.821907,2.1095715,TT*,M1Ve,"Amplitude 20%, very jagged"
V* PU Car,454326202,QLP,12,3774,5.249008922,13.821907,2.1095715,TT*,M1Ve,"Amplitude 20%, very jagged (some 30% features)"
V* PU Car,454326202,QLP,37,3774,5.249008922,13.821907,2.1095715,TT*,M1Ve,"Amplitude overall 80% with smaller amplitude of 2-10%, jagged"
V* PU Car,454326202,QLP,38,3774,5.249008922,13.821907,2.1095715,TT*,M1Ve,"Amplitude overall 50% with smaller amplitude of 2-10%, jagged"
V* PU Car,454326202,QLP,39,3774,5.249008922,13.821907,2.1095715,TT*,M1Ve,"Amplitude overall 20% with smaller amplitude of 2-10%, jagged"
V* PU Car,454326202,QLP,65,3774,5.249008922,13.821907,2.1095715,TT*,M1Ve,Amplitude 20% with 50% dips
V* VZ Cha,454327430,QLP,12,4059,5.232157974,12.611542,1.7548351,Or*,K7e,"Amplitude 5% with 80% spike, jagged"
V* VZ Cha,454327430,QLP,37,4059,5.232157974,12.611542,1.7548351,Or*,K7e,"Beginning amplitude 1% to 20%, flattened lc looks periodic"
V* VZ Cha,454327430,QLP,39,4059,5.232157974,12.611542,1.7548351,Or*,K7e,"Amplitude 10% with 20% dips, some smooth, jagged, 30% spike"
V* VZ Cha,454327430,QLP,64,4059,5.232157974,12.611542,1.7548351,Or*,K7e,"Amplitude 5-10% with 40-60% dips and peaks, smooth"
V* VZ Cha,454327430,QLP,65,4059,5.232157974,12.611542,1.7548351,Or*,K7e,"Amplitude 5-10% with 30% dips and peaks, smooth"
BYB 43,454328115,,,3116,5.224071403,17.408876,4.1079874,Or*,M3.25e,"CDIPS is the ""best"" lc available"
Ass Cha T 1-23,454327580,QLP,12,4384,5.192894647,14.955142,2.665266,Or*,G9IIIe,5-10% dips at beginning then 20-25% dips
Ass Cha T 1-23,454327580,QLP,39,4384,5.192894647,14.955142,2.665266,Or*,G9IIIe,"Amplitude 10-20%, jagged, pointed, some spikes"
Ass Cha T 1-23,454327580,QLP,64,4384,5.192894647,14.955142,2.665266,Or*,G9IIIe,"Amplitude 10-20%, jagged, pointed, some spikes"
Ass Cha T 1-23,454327580,QLP,65,4384,5.192894647,14.955142,2.665266,Or*,G9IIIe,"Amplitude 20% with 50% dip, fuzzy, sharp"
V* HX Cha,454327530,,,7144,5.009874184,15.456446,3.1815033,Or*,M3.5+M7,"GSFC-ELEANOR-LITE is the ""best"" lc available"
HJM C  1-4,454329330,,,4765,5.108507288,16.553795,3.4626284,Or*,K8e,"CDIPS is the ""best"" lc available"
V* FN Cha,454329303,TESS-SPOC,12,10064,5.179713365,13.737523,2.4038897,Or*,K5Ve,"5-10% dips, periodic and tidally locked?"
V* WY Cha,454329387,QLP,12,3314,5.730478658,12.792765,2.190486,Or*,K8Ve,"Amplitude 2% with 30% drop at end, small spikes, jagged"
V* WY Cha,454329387,QLP,39,3314,5.730478658,12.792765,2.190486,Or*,K8Ve,"Amplitude 2-10% with 25% drop near end, pointed, jagged"
V* WY Cha,454329387,QLP,64,3314,5.730478658,12.792765,2.190486,Or*,K8Ve,"Relatively flat with 20, 30, and 50% drops"
V* WY Cha,454329387,QLP,65,3314,5.730478658,12.792765,2.190486,Or*,K8Ve,10% overall change with 25% dips
Ass Cha T 1-27,454328868,SPOC,93,3726,5.35653117,14.524019,2.5223875,Or*,M4Ve,"Amplitude 10%, fuzzy, pointed"
V* WZ Cha,454329319,QLP,12,3254,5.175260355,14.266667,2.2911978,Or*,M4Ve,"Amplitude 5-10%, jagged, pointed"
V* WZ Cha,454329319,QLP,39,3254,5.175260355,14.266667,2.2911978,Or*,M4Ve,"Amplitude 10%, jagged, longer period at beginning"
V* WZ Cha,454329319,QLP,64,3254,5.175260355,14.266667,2.2911978,Or*,M4Ve,"Periodic, fuzzy, amplitude 4%"
V* WZ Cha,454329319,QLP,65,3254,5.175260355,14.266667,2.2911978,Or*,M4Ve,"Periodic, fuzzy, amplitude 4%"
V* XX Cha,454363835,SPOC,64,3503,5.205982267,13.736988,2.3182726,Or*,M3Ve,"Amplitude 20% with 60% dips, some pointed and some smooth, fuzzy"
V* XX Cha,454363835,SPOC,65,3503,5.205982267,13.736988,2.3182726,Or*,M3Ve,"Amplitude 20%, some pointed and some smooth, fuzzy, many many spikes"
CHX 18N,454363834,TESS-SPOC,64,4360,5.218798141,11.540468,1.7312527,TT*,K5IVe,"20-60% dips, smooth"
V* CW Cha,454364287,QLP,12,3680,5.148067172,14.739796,2.6057253,Or*,N/A,"100-200% amplitude, jagged"
V* CW Cha,454364287,QLP,39,3680,5.148067172,14.739796,2.6057253,Or*,N/A,"100-200% amplitude, jagged"
V* CW Cha,454364287,QLP,64,3680,5.148067172,14.739796,2.6057253,Or*,N/A,"Amplitude 50% with overall change 200%, lots of data missing, jagged"
V* CW Cha,454364287,QLP,65,3680,5.148067172,14.739796,2.6057253,Or*,N/A,"Amplitude 100%, jagged"
V* CW Cha,454364287,QLP,66,3680,5.148067172,14.739796,2.6057253,Or*,N/A,"Amplitude 50-100%, jagged"
Ass Cha T 1-32,454404691,SPOC,64,3980,5.2944527,13.042476,1.9945154,Or*,M0.5e,"Amplitude 4%, fuzzy, small spikes, relatively smooth"
Ass Cha T 1-32,454404691,SPOC,65,3980,5.2944527,13.042476,1.9945154,Or*,M0.5e,"Amplitude 4%, fuzzy, small spikes, relatively smooth"
Ass Cha T 1-32,454404691,SPOC,66,3980,5.2944527,13.042476,1.9945154,Or*,M0.5e,"5% drop at beginning then flat, fuzzy"
IRAS 16051-3820,374732772,SPOC,12,4894,6.517972664,10.679561,1.285069466,K2,Or*,"Amplitude 4%, a bit fuzzy, sharp 3% dip"
IRAS 16051-3820,374732772,SPOC,39,4894,6.517972664,10.679561,1.285069466,K2,Or*,"Amplitude 2% with 4% dips at beginning, flattened lc has dips"
UCAC3 104-204438,382549695,SPOC,65,3870,6.255850736,13.132708,2.222857475,M1,Or*,"Amplitude 5% (smooth) with 20% dip (jagged), a bit fuzzy"
UCAC3 104-204438,382549695,SPOC,103,3870,6.255850736,13.132708,2.222857475,M1,Or*,"Amplitude 5% (smooth) with 10-15% dip (jagged), a bit fuzzy, small spike"
THA 15-33,457995946,SPOC,12,3890,6.31448017,13.305508,2.132948875,M1IVe,TT*,"Amplitude 5%, dips up to 20%, jagged, dips in flattened lc"
THA 15-33,457995946,SPOC,39,3890,6.31448017,13.305508,2.132948875,M1IVe,TT*,"Amplitude 5%, dips up to 20%, jagged"
THA 15-33,457995946,SPOC,65,3890,6.31448017,13.305508,2.132948875,M1IVe,TT*,"Amplitude 5%, dips up to 20% with one 40% dip, jagged, dip in flattened lc"
THA 15-33,457995946,SPOC,103,3890,6.31448017,13.305508,2.132948875,M1IVe,TT*,"Amplitude 3%, dips up to 15%, jagged, dip in flattened lc"
Sz 118,382798933,SPOC,65,3728,6.193510813,13.634849,2.426183701,K6,Or*,"Amplitude 30% to 40%, a bit jagged, pointed and smooth"
Sz 118,382798933,SPOC,103,3728,6.193510813,13.634849,2.426183701,K6,Or*,"Amplitude 20% with 60-80% humps, smooth, fuzzy"
Sz 123A,1247560991,SPOC,12,,0.6664580159,17.653593,,,,Unavailable on simbad
Sz 123A,1247560991,SPOC,65,,0.6664580159,17.653593,,,,Unavailable on simbad
Sz 123A,1247560991,SPOC,103,,0.6664580159,17.653593,,,,Unavailable on simbad
Sz 130,59183599,SPOC,12,3735,6.282200294,13.653587,2.34273243,M1.5,TT*,"Amplitude 10%, a bit fuzzy, smooth, many spikes"
Sz 130,59183599,SPOC,39,3735,6.282200294,13.653587,2.34273243,M1.5,TT*,"Amplitude 10%, a bit fuzzy, smooth, many spikes"
Sz 130,59183599,SPOC,65,3735,6.282200294,13.653587,2.34273243,M1.5,TT*,"Amplitude 10%, a bit fuzzy, smooth, many spikes"
Sz 130,59183599,SPOC,103,3735,6.282200294,13.653587,2.34273243,M1.5,TT*,"Amplitude 10%, a bit fuzzy, smooth, many spikes, some data missing"
Sz  65,8159414,SPOC,103,4208,6.515927785,11.745392,1.966726303,K7,Or*,"Amplitude 20%, periodic, smooth and bumpy, one 20% spike"
Sz  66,8159415,SPOC,65,3403,6.413394203,13.892155,3.091443062,M2,TT*,"Amplitude 100%, fuzzy, periodic"
Sz  66,8159415,SPOC,103,3403,6.413394203,13.892155,3.091443062,M2,TT*,"Amplitude 100-200%, less fuzzy, periodic, bumpy and smooth"
CD-33 10685,99039842,SPOC,12,4506,6.515737613,9.766766,1.620742798,K3Ve,Or*,"Amplitude 1-1.5%, a bit fuzzy, pointed"
CD-33 10685,99039842,SPOC,38,4506,6.515737613,9.766766,1.620742798,K3Ve,Or*,"Amplitude 1-1.5%, a bit fuzzy, pointed, periodic"
CD-33 10685,99039842,SPOC,65,4506,6.515737613,9.766766,1.620742798,K3Ve,Or*,"Amplitude 3%, smooth with some points"
V* GQ Lup,442623945,SPOC,12,4360,6.489306587,11.242994,1.742629051,K7Ve,Or*,"Amplitude 5% with 60% drop, pointed, small spikes"
V* GQ Lup,442623945,SPOC,38,4360,6.489306587,11.242994,1.742629051,K7Ve,Or*,"5% amplitude features, jagged, pointed, many spikes with a 30% spike"
V* GQ Lup,442623945,SPOC,103,4360,6.489306587,11.242994,1.742629051,K7Ve,Or*,"5% amplitude features with 20% dip, jagged, pointed, many spikes"
Sz  77,442689368,SPOC,12,4108,6.441144207,11.881741,1.796086311,K5.5,TT*,"Relatively flat at beginning, 10% amplitude at end with 40% drop"
Sz  77,442689368,SPOC,65,4108,6.441144207,11.881741,1.796086311,K5.5,TT*,"Many 20-40% drops, pointed, fuzzy, some spikes"
Sz  77,442689368,SPOC,103,4108,6.441144207,11.881741,1.796086311,K5.5,TT*,"<1% or 5% amplitude with 15% drops, many spikes, pointed"
THA 15-21,374458112,SPOC,103,3723,6.235738524,13.604328,2.362205505,K7-M0,TT*,"Amplitude 5% with 20-40% drops, fuzzy, 50% spike, jagged"
THA 15-20,374457709,SPOC,65,3514,6.273796699,14.377242,2.70501709,M0.5,TT*,"Amplitude 10%, quasiperiodic, smooth troughs and sharp peaks, some spikes"
THA 15-20,374457709,SPOC,103,3514,6.273796699,14.377242,2.70501709,M0.5,TT*,Amplitude 1-5% then 10% bumps at end with 30% peak
Sz  95,374644882,SPOC,103,3509,6.23173,14.002825,2.741612434,N/A,TT*,"Amplitude 2%, periodic, fuzzy, 8% sharp dip"
Sz  96,374813341,SPOC,103,3888,6.411289691,12.889932,2.222483635,N/A,TT*,"Dips of 50-60%, many spikes, smaller bumps, quasiperiodic"
V* V1279 Sco,374813201,SPOC,103,4150,6.398991453,12.231205,1.877093315,M0.4,Or*,"Amplitude 20% with 40% dip, jagged, pointed, lots of data missing"
V1094Sco,457994950,SPOC,65,3967,6.461472602,12.544531,2.009759903,N/A,TT*,"Amplitude 7%, periodic, jagged, pointed"
V1094Sco,457994950,SPOC,103,3967,6.461472602,12.544531,2.009759903,N/A,TT*,"Amplitude 5% with 15% drop, moving peaks, jagged, pointed"
YLW 19,98688481,SPOC,91,3024,6.918318918,14.87995911,3.462253571,K3-K5,Or*,"Flat, caterpillar-like"
GSS 29,399155581,,,3492,7.276874128,16.64293861,4.760418892,K5-K6,TT*,No TESS light curves
[LLL2015] Sa4,399155560,,,2869,,,,K7,YSO*,No TESS light curves
BKLT J162636-241554,175597001,,,2797,7.321171895,17.44816589,3.74792099,K7-M1,Or*,No TESS light curves
GSS 39,175596953,,,2869,9.085300856,20.30308723,2.807800293,M0,Or*,No TESS light curves
WL 18,175596914,,,2754,7.546806792,19.42015648,3.226726532,M3.5,TT*,No TESS light curves
BKLT J162656-241353,175597011,,,2844,7.325059716,18.01511574,4.28559494,K7,TT*,No TESS light curves
VSSG  24,175597660,,,3699,7.288784369,18.04295158,4.298599243,N/A,Or*,No TESS light curves
Elia 2-33,175597726,,,3414,,,,M2,Y*O,No TESS light curves
YLW 18,175743613,,,3469,7.323512094,17.14934158,4.53166008,K5-K6,TT*,No TESS light curves
YLW 47,175743646,,,2831,7.170476426,17.16841507,4.601998329,M0,TT*,No TESS light curves
EM* SR   10,175743722,SPOC,91,4241,7.596105108,13.11023903,2.440314293,M1.5e,Or*,"Amplitude 20%, fuzzy, sharp at beginning and smooth at end, many spikes"
YLW 58,175744819,,,2850,7.408605209,16.11540794,4.385090828,M4,TT*,No TESS light curves
EM* SR   20W,175744599,,,4487,6.811635845,16.67165184,3.443781853,K5,TT*,No TESS light curves
BKLT J162854-244743,175860635,SPOC,91,4542,7.327938043,14.94392395,3.681003571,M2,TT*,"Flat, fuzzy, end has dips 5-15%"
V* CI Tau,61230756,SPOC,70,3807,6.237611682,12.181539,2.129115,K4IVe,Or*,
V* CI Tau,61230756,SPOC,71,3807,6.237611682,12.181539,2.129115,K4IVe,Or*,
V* CW Tau,56624875,SPOC,19,5119.02,7.601729485,12.774684,2.139058,K0Ve,TT*,
V* CW Tau,56624875,SPOC,43,5119.02,7.601729485,12.774684,2.139058,K0Ve,TT*,
V* CW Tau,56624875,SPOC,44,5119.02,7.601729485,12.774684,2.139058,K0Ve,TT*,
